FID,LAD19CD,LAD19NM,PHEC19CD,PHEC19CDH,PHEC19NM,PHEREG19CD,PHEREG19CDH,PHEREG19NM
295,E07000137,East Lindsey,E45000016,X25002AF,East Midlands,E46000002,X25002,Midlands and East of England
296,E07000138,Lincoln,E45000016,X25002AF,East Midlands,E46000002,X25002,Midlands and East of England
297,E07000139,North Kesteven,E45000016,X25002AF,East Midlands,E46000002,X25002,Midlands and East of England
298,E07000140,South Holland,E45000016,X25002AF,East Midlands,E46000002,X25002,Midlands and East of England
299,E07000141,South Kesteven,E45000016,X25002AF,East Midlands,E46000002,X25002,Midlands and East of England
300,E07000142,West Lindsey,E45000016,X25002AF,East Midlands,E46000002,X25002,Midlands and East of England
301,E07000150,Corby,E45000016,X25002AF,East Midlands,E46000002,X25002,Midlands and East of England
302,E07000151,Daventry,E45000016,X25002AF,East Midlands,E46000002,X25002,Midlands and East of England
303,E07000152,East Northamptonshire,E45000016,X25002AF,East Midlands,E46000002,X25002,Midlands and East of England
304,E07000153,Kettering,E45000016,X25002AF,East Midlands,E46000002,X25002,Midlands and East of England
305,E07000154,Northampton,E45000016,X25002AF,East Midlands,E46000002,X25002,Midlands and East of England
306,E07000155,South Northamptonshire,E45000016,X25002AF,East Midlands,E46000002,X25002,Midlands and East of England
307,E07000156,Wellingborough,E45000016,X25002AF,East Midlands,E46000002,X25002,Midlands and East of England
308,E07000170,Ashfield,E45000016,X25002AF,East Midlands,E46000002,X25002,Midlands and East of England
309,E07000171,Bassetlaw,E45000016,X25002AF,East Midlands,E46000002,X25002,Midlands and East of England
310,E07000172,Broxtowe,E45000016,X25002AF,East Midlands,E46000002,X25002,Midlands and East of England
311,E07000173,Gedling,E45000016,X25002AF,East Midlands,E46000002,X25002,Midlands and East of England
